epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1458,1.23786,5.12507,0.01882,0.77723,0.63223,0.76376,0.44167,1.32304,5.2255,0.03277,0.000660317,0.000660317,0.000660317
2,67.1727,1.40341,3.14725,0.0225,0.77341,0.71901,0.82654,0.43226,1.52016,1.70073,0.03785,0.00132693,0.00132693,0.00132693
3,85.7133,1.5104,2.0817,0.02454,0.64814,0.71931,0.69072,0.34342,1.63418,1.42348,0.0411,0.00199334,0.00199334,0.00199334
4,104.692,1.56527,1.65821,0.02627,0.824,0.7376,0.85717,0.47185,1.53627,0.96659,0.03911,0.0019993,0.0019993,0.0019993
5,123.366,1.49713,1.39733,0.0242,0.82362,0.75413,0.85442,0.46739,1.52885,0.91291,0.03848,0.00199875,0.00199875,0.00199875
6,143.151,1.50644,1.29057,0.02408,0.80467,0.75753,0.84164,0.45736,1.58505,0.89851,0.04123,0.00199805,0.00199805,0.00199805
7,169.687,1.46465,1.17737,0.02304,0.82583,0.74793,0.87345,0.46479,1.58707,0.85669,0.04029,0.00199719,0.00199719,0.00199719
8,197.217,1.42773,1.10552,0.02322,0.88441,0.88223,0.93758,0.56717,1.38505,0.63532,0.03364,0.00199617,0.00199617,0.00199617
9,224.003,1.41222,1.02397,0.0228,0.90169,0.83678,0.92503,0.49059,1.58153,0.71784,0.0376,0.001995,0.001995,0.001995
10,251.35,1.39856,1.00448,0.02144,0.87758,0.90348,0.95752,0.5798,1.41955,0.56835,0.037,0.00199368,0.00199368,0.00199368
11,280.015,1.364,1.00832,0.02146,0.87034,0.85744,0.94004,0.56059,1.37641,0.6271,0.03458,0.00199219,0.00199219,0.00199219
12,307.19,1.35004,0.96918,0.02129,0.9011,0.89669,0.95983,0.60081,1.32495,0.55948,0.032,0.00199056,0.00199056,0.00199056
13,332.322,1.33874,0.96643,0.02125,0.92756,0.84655,0.95627,0.61143,1.28908,0.56,0.03208,0.00198877,0.00198877,0.00198877
14,360.448,1.3117,0.92361,0.02051,0.90099,0.88366,0.94908,0.60089,1.33917,0.59131,0.03049,0.00198682,0.00198682,0.00198682
15,379.331,1.29852,0.88795,0.02037,0.94168,0.90289,0.96363,0.63417,1.23856,0.48083,0.0296,0.00198472,0.00198472,0.00198472
16,398.102,1.30934,0.89832,0.02072,0.9103,0.89256,0.961,0.60899,1.30388,0.55078,0.03333,0.00198246,0.00198246,0.00198246
17,417.5,1.28299,0.80717,0.01968,0.92762,0.90702,0.96886,0.66768,1.17371,0.43602,0.0278,0.00198006,0.00198006,0.00198006
18,436.353,1.28669,0.82974,0.01991,0.94654,0.91942,0.9741,0.65738,1.18345,0.45536,0.0283,0.0019775,0.0019775,0.0019775
19,463.453,1.25036,0.80291,0.01941,0.94117,0.9255,0.9764,0.65802,1.18949,0.47486,0.02808,0.00197478,0.00197478,0.00197478
20,494.488,1.2474,0.80483,0.01886,0.94377,0.91322,0.97896,0.6662,1.19172,0.43318,0.02895,0.00197192,0.00197192,0.00197192
21,525.27,1.23694,0.79961,0.01909,0.94395,0.89669,0.96553,0.65016,1.20783,0.47713,0.03021,0.0019689,0.0019689,0.0019689
22,556.278,1.24794,0.80564,0.01907,0.92688,0.94284,0.97413,0.67151,1.15871,0.43309,0.02746,0.00196573,0.00196573,0.00196573
23,586.872,1.2167,0.76143,0.01854,0.8995,0.92463,0.97017,0.6776,1.13303,0.47424,0.02725,0.00196241,0.00196241,0.00196241
24,617.451,1.20944,0.74836,0.01846,0.94892,0.9212,0.98032,0.68014,1.1337,0.44492,0.02625,0.00195894,0.00195894,0.00195894
25,648.25,1.19731,0.75725,0.01877,0.93339,0.92975,0.97725,0.67363,1.13909,0.4559,0.0263,0.00195532,0.00195532,0.00195532
26,676.201,1.18266,0.72431,0.01795,0.94534,0.91942,0.98049,0.69029,1.10376,0.38272,0.0252,0.00195155,0.00195155,0.00195155
27,705.22,1.17978,0.72594,0.01794,0.95216,0.94577,0.9871,0.71338,1.04158,0.39237,0.02354,0.00194763,0.00194763,0.00194763
28,732.692,1.18003,0.73374,0.01802,0.95739,0.93182,0.9838,0.66231,1.21081,0.42937,0.02804,0.00194356,0.00194356,0.00194356
29,758.588,1.12737,0.69283,0.01683,0.95631,0.92769,0.98359,0.72685,1.039,0.34972,0.0235,0.00193935,0.00193935,0.00193935
30,784.539,1.15753,0.71649,0.01771,0.96845,0.95146,0.98825,0.71422,1.04948,0.3506,0.0242,0.00193499,0.00193499,0.00193499
31,810.7,1.14768,0.71522,0.01714,0.93039,0.92769,0.98273,0.70499,1.05528,0.37751,0.02401,0.00193048,0.00193048,0.00193048
32,837.927,1.12161,0.6912,0.0175,0.95322,0.92619,0.98394,0.69899,1.05864,0.41689,0.02389,0.00192583,0.00192583,0.00192583
33,866.039,1.12721,0.69153,0.01737,0.95099,0.94215,0.9883,0.72816,0.99579,0.35605,0.02231,0.00192103,0.00192103,0.00192103
34,893.123,1.11779,0.67286,0.01657,0.94943,0.93098,0.98499,0.72898,1.00097,0.37802,0.02337,0.00191609,0.00191609,0.00191609
35,916.611,1.10621,0.6924,0.01698,0.97085,0.89466,0.98078,0.72398,1.01756,0.37219,0.02329,0.001911,0.001911,0.001911
