epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9254,1.25714,5.13294,0.01747,0.76546,0.70448,0.78876,0.40527,1.45519,4.61522,0.03535,0.000661499,0.000661499,0.000661499
2,81.0075,1.45583,2.85431,0.02123,0.74608,0.71332,0.76638,0.36075,1.73394,1.53825,0.04423,0.00132813,0.00132813,0.00132813
3,107.35,1.55031,1.87874,0.02339,0.74701,0.75684,0.80555,0.39617,1.64417,1.16498,0.03826,0.00199462,0.00199462,0.00199462
4,134.356,1.59495,1.49636,0.0237,0.80433,0.75211,0.83926,0.4105,1.70803,1.04741,0.04151,0.00199951,0.00199951,0.00199951
5,160.782,1.54511,1.29545,0.02302,0.81313,0.82799,0.88396,0.4961,1.54041,0.88542,0.03717,0.00199913,0.00199913,0.00199913
6,187.924,1.47898,1.21382,0.02118,0.81571,0.79933,0.87575,0.48795,1.51127,0.82127,0.03561,0.00199864,0.00199864,0.00199864
7,214.438,1.47734,1.09463,0.02193,0.85072,0.82646,0.89847,0.51375,1.48323,0.75971,0.03447,0.00199805,0.00199805,0.00199805
8,240.056,1.45136,1.05816,0.02122,0.81257,0.84076,0.88452,0.46367,1.58676,0.82012,0.04155,0.00199734,0.00199734,0.00199734
9,266.026,1.38931,1.01628,0.02019,0.89627,0.88364,0.9428,0.57394,1.34769,0.61156,0.02988,0.00199653,0.00199653,0.00199653
10,290.841,1.41555,0.99762,0.02005,0.88376,0.86509,0.93958,0.55778,1.40877,0.63718,0.03417,0.00199561,0.00199561,0.00199561
11,315.659,1.40518,0.94606,0.02087,0.89802,0.90725,0.96717,0.58963,1.3651,0.56047,0.03083,0.00199458,0.00199458,0.00199458
12,340.148,1.3635,0.90982,0.01968,0.91012,0.87091,0.95549,0.61818,1.24191,0.57961,0.02764,0.00199344,0.00199344,0.00199344
13,364.634,1.34754,0.92199,0.01945,0.86653,0.84486,0.92405,0.56526,1.34263,0.64494,0.03063,0.00199219,0.00199219,0.00199219
14,389.265,1.33069,0.88426,0.01888,0.89339,0.84786,0.93949,0.57211,1.38093,0.62164,0.03141,0.00199084,0.00199084,0.00199084
15,413.936,1.33222,0.86293,0.01901,0.88518,0.89207,0.9386,0.59911,1.26739,0.584,0.02897,0.00198938,0.00198938,0.00198938
16,438.536,1.30765,0.84003,0.01825,0.8776,0.88262,0.94692,0.60591,1.26321,0.58437,0.02873,0.00198781,0.00198781,0.00198781
17,463.126,1.28051,0.83279,0.01799,0.91791,0.88626,0.95795,0.62736,1.2489,0.53873,0.02796,0.00198614,0.00198614,0.00198614
18,488.509,1.28255,0.83502,0.01821,0.92764,0.91568,0.9741,0.68118,1.12383,0.4695,0.02341,0.00198435,0.00198435,0.00198435
19,512.877,1.26487,0.8323,0.01774,0.89122,0.92569,0.96501,0.64657,1.21938,0.50621,0.02629,0.00198246,0.00198246,0.00198246
20,538.503,1.26067,0.78736,0.01789,0.91435,0.89376,0.9661,0.63082,1.2383,0.52066,0.02772,0.00198047,0.00198047,0.00198047
21,563.859,1.28239,0.77761,0.01817,0.91814,0.92243,0.96914,0.64566,1.19495,0.48144,0.02628,0.00197837,0.00197837,0.00197837
22,588.464,1.26604,0.78558,0.01752,0.91398,0.9138,0.97049,0.6632,1.15699,0.45804,0.02535,0.00197616,0.00197616,0.00197616
23,612.961,1.22514,0.71734,0.01732,0.92937,0.9319,0.97707,0.69105,1.08715,0.42189,0.02322,0.00197384,0.00197384,0.00197384
24,638.464,1.19653,0.71485,0.01634,0.89485,0.9258,0.97301,0.66535,1.16682,0.46433,0.02546,0.00197142,0.00197142,0.00197142
25,664.669,1.22548,0.75426,0.01725,0.94132,0.91977,0.97973,0.67181,1.19873,0.43014,0.02659,0.0019689,0.0019689,0.0019689
26,689.028,1.20333,0.7212,0.01685,0.93216,0.92691,0.97625,0.66294,1.18771,0.43181,0.02519,0.00196627,0.00196627,0.00196627
27,713.615,1.22567,0.74015,0.01693,0.93513,0.92917,0.97984,0.69195,1.11369,0.40619,0.02352,0.00196353,0.00196353,0.00196353
28,738.068,1.18757,0.69401,0.01626,0.93009,0.94234,0.97964,0.66307,1.20813,0.45392,0.02668,0.00196069,0.00196069,0.00196069
29,763.09,1.17987,0.69,0.0164,0.93217,0.9511,0.98457,0.71703,1.03899,0.38067,0.02205,0.00195775,0.00195775,0.00195775
