epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.215,1.42451,7.19547,0.00874,0.0033,0.99083,0.46246,0.2386,1.00997,6.38759,0.01029,0.00046,0.00046,0.00046
2,36.6175,1.17588,5.59194,0.00735,0.00333,1,0.26945,0.16599,0.86172,6.30764,0.00901,0.000939963,0.000939963,0.000939963
3,44.5233,1.2065,4.58574,0.0076,0.5152,0.11707,0.52908,0.34631,1.03784,5.72935,0.01066,0.00141978,0.00141978,0.00141978
4,51.1852,1.27732,3.93389,0.00874,0.74123,0.61468,0.7874,0.52452,1.04036,4.68782,0.01097,0.00189933,0.00189933,0.00189933
5,59.9909,1.35677,3.19716,0.00823,0.70497,0.78899,0.79416,0.50598,1.19481,3.30134,0.01399,0.00199875,0.00199875,0.00199875
6,70.6567,1.28958,2.75721,0.0091,0.78209,0.80734,0.88272,0.58817,1.20292,1.93619,0.01253,0.00199805,0.00199805,0.00199805
7,78.4294,1.2876,2.38432,0.00775,0.77274,0.85321,0.88689,0.54858,1.26525,1.54122,0.01276,0.00199719,0.00199719,0.00199719
8,86.0265,1.2685,2.02371,0.00783,0.78317,0.86239,0.91877,0.56919,1.28223,1.16484,0.01365,0.00199617,0.00199617,0.00199617
9,93.7512,1.28797,1.75759,0.00791,0.87672,0.84818,0.92852,0.66298,1.09354,1.00223,0.01163,0.001995,0.001995,0.001995
10,101.635,1.25844,1.56444,0.00747,0.87168,0.87253,0.94897,0.67007,1.16298,0.71384,0.01242,0.00199368,0.00199368,0.00199368
11,109.097,1.24842,1.43294,0.00787,0.88606,0.85616,0.94564,0.64519,1.18714,0.63779,0.01215,0.00199219,0.00199219,0.00199219
12,116.344,1.20413,1.24832,0.00757,0.90652,0.79817,0.93949,0.65575,1.09121,1.00378,0.01104,0.00199056,0.00199056,0.00199056
13,123.552,1.22805,1.16574,0.00757,0.93312,0.86239,0.96226,0.68638,1.07405,0.62037,0.01114,0.00198877,0.00198877,0.00198877
14,130.95,1.18358,1.10894,0.00769,0.94313,0.91291,0.97605,0.65298,1.18733,0.53528,0.01194,0.00198682,0.00198682,0.00198682
