epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4076,1.39696,5.48346,0.01795,0.53197,0.33152,0.4381,0.18672,1.48535,6.05278,0.03142,0.000658436,0.000658436,0.000658436
2,80.5511,1.32507,3.37925,0.01658,0.80783,0.84783,0.91095,0.62318,1.15871,1.63537,0.02292,0.00132505,0.00132505,0.00132505
3,104.135,1.29532,2.02907,0.01605,0.85493,0.84239,0.93754,0.54409,1.50928,0.94221,0.02953,0.00199146,0.00199146,0.00199146
4,128.596,1.30517,1.49591,0.01617,0.8944,0.80553,0.9149,0.66255,1.07789,0.71896,0.0211,0.0019993,0.0019993,0.0019993
5,151.635,1.28749,1.17521,0.01653,0.92661,0.89205,0.96833,0.67537,1.12061,0.54726,0.02392,0.00199875,0.00199875,0.00199875
6,174.737,1.1433,0.97646,0.01371,0.40503,0.22554,0.20347,0.05874,1.92613,3.20272,0.0508,0.00199805,0.00199805,0.00199805
7,198.469,1.13012,0.85528,0.01363,0.95235,0.92663,0.98323,0.77726,0.81269,0.38084,0.01584,0.00199719,0.00199719,0.00199719
8,221.332,1.08421,0.76552,0.01286,0.9362,0.93478,0.98321,0.79677,0.76957,0.38178,0.01438,0.00199617,0.00199617,0.00199617
9,243.156,1.07866,0.75734,0.01275,0.91732,0.90217,0.97327,0.73174,0.94469,0.47215,0.01866,0.001995,0.001995,0.001995
10,265.506,1.04967,0.71889,0.01227,0.97229,0.95356,0.99003,0.78447,0.86026,0.29931,0.01584,0.00199368,0.00199368,0.00199368
11,286.82,1.00116,0.66112,0.012,0.95943,0.9375,0.98692,0.80702,0.76413,0.33918,0.01419,0.00199219,0.00199219,0.00199219
12,307.677,1.01777,0.64959,0.01228,0.85231,0.79977,0.87301,0.48173,1.59959,0.91469,0.03743,0.00199056,0.00199056,0.00199056
13,329.827,0.95095,0.57939,0.01123,0.96702,0.95601,0.99066,0.85285,0.67639,0.24883,0.01203,0.00198877,0.00198877,0.00198877
14,350.865,0.91546,0.56861,0.01083,0.98026,0.94455,0.99195,0.80502,0.81242,0.30498,0.01491,0.00198682,0.00198682,0.00198682
15,374.222,0.96361,0.60961,0.01126,0.92986,0.97011,0.98842,0.80632,0.75166,0.31367,0.0139,0.00198472,0.00198472,0.00198472
16,395.533,0.94521,0.55075,0.01117,0.97303,0.95652,0.99137,0.84473,0.70049,0.26988,0.01348,0.00198246,0.00198246,0.00198246
17,417.091,0.93966,0.51791,0.01116,0.96515,0.96196,0.99197,0.84906,0.67492,0.25168,0.01203,0.00198006,0.00198006,0.00198006
18,438.478,0.87864,0.51896,0.01031,0.98223,0.97554,0.99333,0.84094,0.68172,0.24546,0.01247,0.0019775,0.0019775,0.0019775
19,459.678,0.89534,0.50995,0.01039,0.96662,0.96739,0.99128,0.86935,0.60542,0.23756,0.01116,0.00197478,0.00197478,0.00197478
20,480.862,0.88997,0.48196,0.01078,0.9815,0.97826,0.99427,0.84552,0.71898,0.21541,0.01267,0.00197192,0.00197192,0.00197192
21,502.053,0.86085,0.4729,0.01006,0.97293,0.97651,0.99314,0.86095,0.65519,0.22497,0.01202,0.0019689,0.0019689,0.0019689
22,523.437,0.85069,0.47093,0.00971,0.93699,0.85054,0.92248,0.57157,1.4365,0.64745,0.03442,0.00196573,0.00196573,0.00196573
23,544.627,0.82588,0.46938,0.00954,0.95466,0.97277,0.99128,0.86473,0.61112,0.23637,0.01093,0.00196241,0.00196241,0.00196241
24,565.852,0.82492,0.47726,0.00951,0.95274,0.98607,0.9925,0.84153,0.67555,0.2372,0.01186,0.00195894,0.00195894,0.00195894
25,588.637,0.81374,0.46743,0.00922,0.98368,0.98286,0.99402,0.84073,0.66847,0.22886,0.01193,0.00195532,0.00195532,0.00195532
26,611.688,0.84816,0.46529,0.00968,0.96559,0.98098,0.99317,0.85785,0.6521,0.22298,0.01185,0.00195155,0.00195155,0.00195155
27,634.777,0.83388,0.45748,0.00954,0.9677,0.97826,0.993,0.86663,0.61153,0.22157,0.01133,0.00194763,0.00194763,0.00194763
28,655.822,0.80362,0.42807,0.0092,0.87269,0.82609,0.90547,0.56041,1.37082,0.72588,0.03254,0.00194356,0.00194356,0.00194356
29,677.566,0.83462,0.45915,0.00943,0.9835,0.9721,0.99366,0.83099,0.76376,0.23917,0.01431,0.00193935,0.00193935,0.00193935
30,698.212,0.85477,0.45781,0.00991,0.97565,0.98009,0.99345,0.85371,0.66197,0.22469,0.01178,0.00193499,0.00193499,0.00193499
31,719.061,0.80625,0.44455,0.0093,0.98275,0.97554,0.99397,0.84178,0.72271,0.24558,0.01381,0.00193048,0.00193048,0.00193048
32,739.857,0.79834,0.44415,0.00908,0.98444,0.96739,0.99269,0.88498,0.54164,0.22417,0.00974,0.00192583,0.00192583,0.00192583
33,760.769,0.79559,0.44277,0.00906,0.97573,0.98327,0.99384,0.88608,0.54275,0.1909,0.0096,0.00192103,0.00192103,0.00192103
34,782.753,0.77413,0.41604,0.0089,0.97835,0.98258,0.99394,0.90154,0.52374,0.17971,0.00944,0.00191609,0.00191609,0.00191609
