epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,82.0802,1.30514,4.69789,0.01852,0.78439,0.71496,0.81705,0.48871,1.31052,1.97121,0.02832,0.00994624,0.00331541,0.00994624,0.00331541,0.00994624,0.00331541,0.00994624,0.00331541
2,128.373,1.35398,1.8361,0.01936,0.90037,0.85041,0.93041,0.53194,1.44115,0.7144,0.03303,0.0199459,0.00664864,0.0199459,0.00664864,0.0199459,0.00664864,0.0199459,0.00664864
3,173.908,1.40711,1.25081,0.02035,0.87131,0.82568,0.91574,0.55402,1.38419,0.74775,0.03322,0.0299444,0.00998147,0.0299444,0.00998147,0.0299444,0.00998147,0.0299444,0.00998147
4,218.828,1.4585,1.17633,0.02139,0.83987,0.82214,0.90517,0.54393,1.41431,0.77107,0.03425,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,263.747,1.44373,1.11439,0.02113,0.88539,0.87868,0.9279,0.59444,1.30247,0.66419,0.02948,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,305.875,1.40599,1.03247,0.02034,0.91973,0.88928,0.94675,0.63399,1.25014,0.59641,0.02858,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,348.051,1.33418,0.98617,0.01904,0.90542,0.87955,0.94984,0.63448,1.24828,0.5348,0.02833,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,390.97,1.29502,0.93148,0.019,0.92588,0.89753,0.95843,0.68979,1.11604,0.50269,0.02469,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,433.688,1.29737,0.89932,0.0187,0.88471,0.90388,0.95747,0.66701,1.14265,0.50935,0.02756,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,475.82,1.27657,0.86169,0.01813,0.94106,0.92157,0.97167,0.67377,1.15121,0.46374,0.02801,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,517.864,1.24359,0.82236,0.01739,0.9189,0.93168,0.97431,0.71239,1.05544,0.42806,0.02358,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,561.204,1.23443,0.81335,0.01781,0.94567,0.90209,0.97314,0.70018,1.08562,0.43473,0.02551,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,603.15,1.22704,0.81985,0.0175,0.94871,0.92226,0.98118,0.75065,0.94905,0.36728,0.02148,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
14,645.007,1.18489,0.76868,0.01669,0.94698,0.92108,0.97591,0.72762,0.99059,0.40297,0.02193,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
15,687.114,1.16648,0.76343,0.01642,0.93412,0.91861,0.95961,0.7181,1.03898,0.46055,0.0235,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
16,729.223,1.14073,0.74244,0.01605,0.94899,0.90931,0.97295,0.74387,0.96483,0.39321,0.02208,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
17,771.607,1.14491,0.71172,0.01574,0.94341,0.93757,0.97781,0.74821,0.94665,0.39682,0.02071,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
18,813.458,1.14496,0.70856,0.01606,0.95984,0.94464,0.98394,0.7703,0.90781,0.37653,0.01993,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594,0.0298678,0.00995594
19,856.156,1.12439,0.69611,0.01571,0.93419,0.91519,0.97159,0.75399,0.89261,0.38469,0.01944,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
20,897.756,1.10983,0.67649,0.01546,0.97273,0.92436,0.98573,0.7761,0.88324,0.3305,0.01883,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499,0.029835,0.00994499
21,939.103,1.11952,0.65657,0.01542,0.93264,0.92962,0.97964,0.77284,0.86082,0.37492,0.01918,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
22,979.392,1.08219,0.65867,0.01509,0.95964,0.95209,0.98787,0.78529,0.83617,0.32877,0.01836,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282,0.0297985,0.00993282
23,1019.62,1.05628,0.65237,0.01474,0.96724,0.93888,0.98571,0.79307,0.80745,0.33527,0.01727,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
24,1059.51,1.05785,0.64394,0.01437,0.96827,0.93993,0.98496,0.79191,0.82658,0.32168,0.01833,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946,0.0297584,0.00991946
25,1099.78,1.05373,0.63144,0.01466,0.95153,0.94806,0.98526,0.79555,0.82666,0.31776,0.0176,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
26,1139.81,1.0533,0.60852,0.01445,0.94774,0.95406,0.98563,0.79609,0.81689,0.32871,0.01845,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
27,1180.37,1.04785,0.60183,0.01433,0.96469,0.93328,0.98684,0.80378,0.78958,0.3165,0.01681,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
28,1220.36,1.02764,0.59807,0.01423,0.95959,0.92306,0.98535,0.79753,0.83409,0.32203,0.0178,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912,0.0296674,0.00988912
29,1260.37,1.01898,0.58698,0.01404,0.94386,0.93069,0.97715,0.78275,0.86526,0.35432,0.01908,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
30,1300.68,1.00117,0.60207,0.0137,0.94719,0.95066,0.98724,0.81899,0.74441,0.29007,0.01612,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216,0.0296165,0.00987216
31,1340.76,0.99214,0.57887,0.01364,0.95785,0.96349,0.98999,0.82997,0.74566,0.27009,0.01541,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
32,1381.1,1.00464,0.57944,0.01368,0.97526,0.95406,0.99001,0.82074,0.76194,0.26379,0.01601,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401,0.029562,0.00985401
33,1421.62,0.99337,0.57067,0.01348,0.98082,0.96392,0.9921,0.82743,0.75144,0.2621,0.01563,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
34,1462.09,0.99261,0.56678,0.01368,0.96864,0.94576,0.9889,0.8136,0.76205,0.29891,0.01606,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467,0.029504,0.00983467
35,1502.21,0.96953,0.59486,0.01316,0.94918,0.94582,0.98554,0.82476,0.74384,0.30013,0.01587,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
36,1542.34,0.9736,0.55312,0.01341,0.94576,0.9652,0.98887,0.81569,0.79042,0.28198,0.01664,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
37,1582.66,0.9794,0.5662,0.01343,0.93109,0.95171,0.98468,0.81238,0.78336,0.30423,0.01751,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
38,1622.41,0.9584,0.53269,0.0132,0.97124,0.95476,0.99024,0.82543,0.74785,0.26926,0.01579,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246,0.0293774,0.00979246
39,1662.57,0.95417,0.55015,0.01281,0.96336,0.96012,0.99008,0.83118,0.72941,0.26789,0.01563,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
40,1702.53,0.93815,0.5378,0.01289,0.97089,0.97173,0.9923,0.85015,0.69462,0.23399,0.01463,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696,0.0293088,0.0097696
41,1742.49,0.93181,0.53609,0.01248,0.96241,0.96495,0.99061,0.84011,0.70202,0.25822,0.01448,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
42,1782.91,0.93938,0.54532,0.01282,0.96476,0.96231,0.99152,0.83089,0.75235,0.2649,0.01599,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557,0.0292367,0.00974557
43,1822.85,0.93767,0.50881,0.01254,0.95799,0.96693,0.99072,0.84765,0.6813,0.25967,0.01407,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
44,1862.79,0.92326,0.52438,0.01229,0.97769,0.93286,0.98913,0.84672,0.67034,0.26831,0.01364,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039,0.0291612,0.00972039
45,1903.09,0.91756,0.49834,0.01227,0.96982,0.97998,0.99327,0.86689,0.65441,0.22846,0.01369,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
46,1943.22,0.90987,0.51169,0.01245,0.96744,0.97055,0.99225,0.85796,0.67095,0.23491,0.01406,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
47,1983.13,0.91591,0.51142,0.01242,0.97952,0.95749,0.99194,0.86337,0.65371,0.23451,0.01337,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
48,2023.37,0.89872,0.49656,0.01195,0.97958,0.96584,0.99242,0.85998,0.64587,0.2334,0.01344,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656,0.0289997,0.00966656
49,2063.46,0.89708,0.51214,0.01206,0.96733,0.96702,0.99206,0.85447,0.66958,0.23067,0.01395,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
50,2103.27,0.89283,0.49771,0.01186,0.9662,0.97654,0.99287,0.87179,0.62565,0.22539,0.01283,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794,0.0289138,0.00963794
51,2143.71,0.88387,0.50646,0.01181,0.97516,0.95642,0.99133,0.83999,0.69777,0.24504,0.01473,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
52,2183.58,0.87554,0.48909,0.01182,0.98662,0.95506,0.99294,0.86317,0.63306,0.22805,0.01311,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819,0.0288246,0.00960819
53,2225.04,0.86923,0.47459,0.01187,0.98656,0.97055,0.99359,0.87908,0.62507,0.20754,0.01304,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
54,2265.3,0.85696,0.46602,0.0115,0.97709,0.97291,0.99239,0.87733,0.62716,0.22307,0.01284,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731,0.0287319,0.00957731
55,2305.57,0.8656,0.4851,0.01151,0.95469,0.96787,0.99047,0.85462,0.64438,0.25526,0.01289,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
56,2345.43,0.86323,0.48855,0.01138,0.97848,0.96398,0.99238,0.88244,0.60245,0.21834,0.01238,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
57,2385.64,0.8675,0.47028,0.01176,0.97012,0.96584,0.99244,0.86268,0.63611,0.24085,0.01293,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
58,2425.7,0.86151,0.47714,0.01161,0.96252,0.96804,0.99145,0.87084,0.6151,0.23545,0.01269,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122,0.0285366,0.0095122
59,2465.6,0.87896,0.484,0.01185,0.97049,0.96824,0.99121,0.87835,0.61032,0.23347,0.01264,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
60,2505.83,0.84696,0.47236,0.01131,0.97276,0.96749,0.9931,0.87781,0.60131,0.21905,0.01208,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478,0.028434,0.009478
61,2545.97,0.84933,0.46622,0.01164,0.97959,0.95995,0.99238,0.87885,0.60443,0.2209,0.01259,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
62,2585.9,0.8569,0.47082,0.01137,0.96094,0.95631,0.9893,0.8755,0.61547,0.24691,0.01283,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427,0.0283281,0.0094427
63,2626.2,0.83062,0.46431,0.01091,0.97634,0.97192,0.9932,0.88763,0.5747,0.19791,0.01164,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
64,2665.98,0.82838,0.4518,0.01081,0.9743,0.9823,0.99377,0.8819,0.60581,0.20182,0.01215,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631,0.0282189,0.00940631
65,2706,0.81711,0.43741,0.01092,0.97201,0.97527,0.99303,0.88153,0.60601,0.20824,0.0121,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
66,2746.26,0.82843,0.46236,0.0111,0.9752,0.97273,0.99287,0.89362,0.56998,0.20365,0.01174,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
67,2786.43,0.82626,0.44651,0.01074,0.97201,0.98704,0.99388,0.88151,0.59615,0.2022,0.0122,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
68,2826.2,0.81523,0.44886,0.01088,0.98453,0.97453,0.99406,0.89196,0.57054,0.20085,0.01166,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033,0.027991,0.00933033
69,2866.39,0.81986,0.44196,0.01093,0.9797,0.96635,0.9925,0.88951,0.56894,0.21314,0.01182,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
70,2906.38,0.83322,0.4474,0.01105,0.98009,0.98115,0.99418,0.90331,0.53989,0.19095,0.01083,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075,0.0278723,0.00929075
71,2946.52,0.80288,0.43803,0.01072,0.97135,0.98115,0.99305,0.8943,0.55773,0.20463,0.01158,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
72,2986.83,0.7995,0.44233,0.01059,0.98571,0.97291,0.99374,0.90887,0.54386,0.18848,0.01104,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013,0.0277504,0.00925013
73,3027.12,0.82203,0.42463,0.01096,0.97608,0.98704,0.99434,0.88842,0.57822,0.19321,0.0119,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
74,3067.1,0.79589,0.43152,0.01044,0.98219,0.97445,0.99376,0.89127,0.54115,0.19323,0.01087,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846,0.0276254,0.00920846
75,3107.38,0.79279,0.42325,0.01057,0.99277,0.96992,0.99387,0.90245,0.54452,0.18916,0.01091,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
76,3147.58,0.79816,0.43931,0.01056,0.9731,0.98006,0.99287,0.89249,0.56291,0.20458,0.0113,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
77,3187.61,0.79415,0.4289,0.01038,0.98557,0.98233,0.99426,0.89915,0.53388,0.18294,0.01079,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
78,3227.8,0.77922,0.40588,0.01023,0.98224,0.97701,0.99391,0.9074,0.53251,0.18897,0.01065,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207
79,3267.72,0.77348,0.41091,0.01015,0.96859,0.98071,0.99339,0.89707,0.5394,0.20048,0.01072,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
80,3307.66,0.79195,0.41296,0.01064,0.96176,0.97765,0.99258,0.90014,0.55502,0.20735,0.01137,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736
81,3347.99,0.78167,0.43002,0.01042,0.98681,0.9692,0.99385,0.90551,0.5301,0.19159,0.01059,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
82,3387.91,0.79291,0.42366,0.01057,0.98131,0.97762,0.99395,0.91136,0.51821,0.18387,0.01022,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166
83,3427.97,0.77066,0.42028,0.0103,0.96197,0.98321,0.99309,0.89892,0.54063,0.20775,0.01075,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
84,3468.33,0.77508,0.41555,0.01019,0.98624,0.9788,0.99428,0.91058,0.51313,0.17748,0.01021,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497
85,3508.42,0.77003,0.41003,0.01023,0.97996,0.97934,0.9939,0.91155,0.52709,0.18151,0.01034,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
86,3548.27,0.77026,0.40517,0.01024,0.97368,0.98115,0.99343,0.90614,0.50351,0.19768,0.01013,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
87,3588.47,0.76528,0.39488,0.01004,0.97375,0.97644,0.99292,0.90549,0.51698,0.19134,0.01056,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
88,3628.36,0.75807,0.42455,0.01021,0.97642,0.98233,0.99407,0.90974,0.49676,0.17767,0.01002,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887
89,3668.64,0.74078,0.40181,0.00974,0.97648,0.97801,0.9937,0.91158,0.50214,0.18354,0.01011,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
90,3708.69,0.7505,0.40322,0.01004,0.99052,0.98448,0.99464,0.90752,0.51625,0.1814,0.01071,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914
91,3748.88,0.75313,0.41376,0.01007,0.97108,0.98863,0.99358,0.90206,0.51271,0.18488,0.0103,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
92,3788.82,0.77144,0.41103,0.01012,0.97547,0.98587,0.99402,0.91041,0.49738,0.17587,0.00995,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864
93,3829.18,0.75147,0.40936,0.01007,0.98345,0.98017,0.99384,0.92077,0.49103,0.18643,0.00975,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
94,3869.14,0.74177,0.38927,0.00969,0.98008,0.98497,0.99404,0.91646,0.4907,0.17849,0.00994,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723
95,3910.02,0.74261,0.40124,0.00972,0.98336,0.97425,0.99343,0.91151,0.48698,0.18058,0.00959,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
96,3950.5,0.73278,0.39568,0.00961,0.98806,0.97502,0.99392,0.91381,0.49506,0.17422,0.00965,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
97,3990.51,0.74534,0.38483,0.00996,0.98585,0.98493,0.99443,0.92223,0.48695,0.16294,0.00955,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
98,4030.82,0.72708,0.38249,0.00947,0.98359,0.98848,0.99445,0.92012,0.47814,0.16474,0.00943,0.025895,0.00863167,0.025895,0.00863167,0.025895,0.00863167,0.025895,0.00863167
